CITY,HOSPITAL_COUNT,PROVINCE,POPULATION_2024_2025,AREA_SQ_KM,Hospitals per sqkm,Pop. Per sq km,Hospitals per person,Person served per hospital,DATA_SOURCE
Lahore,2315,Punjab,14825828,1772,1.306433409,8366.72009,0.000156146,6404.245356,UN estimates 2025; Wikipedia
Gilgit,7,Gilgit-Baltistan,80000,38,0.184210526,2105.263158,0.0000875,11428.57143,Regional estimates; City area
Jamshoro,7,Sindh,120000,1718,0.004074505,69.84866123,5.83333E-05,17142.85714,Census estimates; District area
Kamoke,7,Punjab,180000,35,0.2,5142.857143,3.88889E-05,25714.28571,Census estimates; Tehsil area
Kot-Addu,7,Punjab,120000,40,0.175,3000,5.83333E-05,17142.85714,Census estimates; Tehsil area
Mian-Channu,7,Punjab,140000,45,0.155555556,3111.111111,0.00005,20000,Census estimates; Tehsil area
Mirpur-Khas,7,Sindh,240000,2516,0.002782194,95.38950715,2.91667E-05,34285.71429,Census estimates; District area
Gujar-Khan,6,Punjab,120000,50,0.12,2400,0.00005,20000,Census estimates; Tehsil area
Jaranwala,6,Punjab,150000,55,0.109090909,2727.272727,0.00004,25000,Census estimates; Tehsil area
Khanpur,6,Punjab,100000,30,0.2,3333.333333,0.00006,16666.66667,Census estimates; Tehsil area
Lalamusa,6,Punjab,80000,25,0.24,3200,0.000075,13333.33333,Census estimates; Tehsil area
Nankana-Sahib,6,Punjab,110000,2960,0.002027027,37.16216216,5.45455E-05,18333.33333,Census estimates; District area
Rawalakot,6,Azad Kashmir,90000,40,0.15,2250,6.66667E-05,15000,AJK estimates; City area
Talagang,6,Punjab,70000,3626,0.001654716,19.30501931,8.57143E-05,11666.66667,Census estimates; District area
Buner,5,KPK,60000,1865,0.002680965,32.17158177,8.33333E-05,12000,Census estimates; District area
Chishtian,5,Punjab,80000,35,0.142857143,2285.714286,0.0000625,16000,Census estimates; Tehsil area
Rajan-Pur,5,Punjab,120000,12319,0.000405877,9.74105041,4.16667E-05,24000,Census estimates; District area
Samundri,5,Punjab,130000,45,0.111111111,2888.888889,3.84615E-05,26000,Census estimates; Tehsil area
Skardu,5,Gilgit-Baltistan,40000,18181,0.000275012,2.200099004,0.000125,8000,Regional estimates; District area
Alipur,4,Punjab,70000,30,0.133333333,2333.333333,5.71429E-05,17500,Census estimates; Tehsil area
Bhalwal,4,Punjab,90000,40,0.1,2250,4.44444E-05,22500,Census estimates; Tehsil area
Khairpur,4,Sindh,160000,15910,0.000251414,10.0565682,0.000025,40000,Census estimates; District area
Khuzdar,4,Balochistan,120000,35380,0.000113058,3.39174675,3.33333E-05,30000,Census estimates; District area
Kotli,4,Azad Kashmir,80000,1862,0.002148228,42.96455424,0.00005,20000,AJK estimates; District area
Muridke,4,Punjab,120000,50,0.08,2400,3.33333E-05,30000,Census estimates; Tehsil area
Pasrur,4,Punjab,90000,40,0.1,2250,4.44444E-05,22500,Census estimates; Tehsil area
Shahkot,4,Punjab,60000,25,0.16,2400,6.66667E-05,15000,Census estimates; Tehsil area
Thatta,4,Sindh,80000,17355,0.000230481,4.609622587,0.00005,20000,Census estimates; District area
Baden,3,Sindh,40000,20,0.15,2000,0.000075,13333.33333,Census estimates; Tehsil area
Dina,3,Punjab,50000,35,0.085714286,1428.571429,0.00006,16666.66667,Census estimates; Tehsil area
Dinga,3,Punjab,60000,30,0.1,2000,0.00005,20000,Census estimates; Tehsil area
Kabirwala,3,Punjab,70000,40,0.075,1750,4.28571E-05,23333.33333,Census estimates; Tehsil area
Loralai,3,Balochistan,50000,9830,0.000305188,5.08646999,0.00006,16666.66667,Census estimates; District area
Malakand,3,KPK,40000,952,0.003151261,42.01680672,0.000075,13333.33333,Census estimates; District area
Pindi-Bhattian,3,Punjab,50000,30,0.1,1666.666667,0.00006,16666.66667,Census estimates; Tehsil area
Turbat,3,Balochistan,180000,43686,6.86719E-05,4.120313144,1.66667E-05,60000,Census estimates; District area
Dargai,2,KPK,30000,25,0.08,1200,6.66667E-05,15000,Census estimates; Tehsil area
Dijkot,2,Punjab,25000,20,0.1,1250,0.00008,12500,Census estimates; Tehsil area
Dunyapur,2,Punjab,40000,30,0.066666667,1333.333333,0.00005,20000,Census estimates; Tehsil area
Kandiaro,2,Sindh,35000,25,0.08,1400,5.71429E-05,17500,Census estimates; Tehsil area
Kashmor,2,Sindh,60000,2551,0.000784006,23.52018816,3.33333E-05,30000,Census estimates; District area
Mithi,2,Sindh,45000,22266,8.9823E-05,2.021018593,4.44444E-05,22500,Census estimates; District area
Shorkot,2,Punjab,50000,35,0.057142857,1428.571429,0.00004,25000,Census estimates; Tehsil area
Tando-Muhammad-Khan,2,Sindh,70000,1585,0.00126183,44.16403785,2.85714E-05,35000,Census estimates; District area
Tarbela,2,KPK,40000,30,0.066666667,1333.333333,0.00005,20000,Census estimates; Tehsil area
Taxila,2,Punjab,160000,60,0.033333333,2666.666667,0.0000125,80000,Census estimates; Tehsil area
Umarkot,2,Sindh,60000,5608,0.000356633,10.69900143,3.33333E-05,30000,Census estimates; District area
Bajaur-Agency,1,KPK,20000,1290,0.000775194,15.50387597,0.00005,20000,Census estimates; District area
Bhimber,1,Azad Kashmir,60000,1516,0.000659631,39.57783641,1.66667E-05,60000,AJK estimates; District area
Hangu,1,KPK,80000,1097,0.000911577,72.92616226,0.0000125,80000,Census estimates; District area
Jacobabad,1,Sindh,200000,2771,0.000360881,72.17610971,0.000005,200000,Census estimates; District area
Jand,1,Punjab,30000,25,0.04,1200,3.33333E-05,30000,Census estimates; Tehsil area
Matiari,1,Sindh,50000,1459,0.000685401,34.27004798,0.00002,50000,Census estimates; District area
Qila-Saifullah,1,Balochistan,40000,14164,7.06015E-05,2.824061,0.000025,40000,Census estimates; District area
Renala-Khurd,1,Punjab,60000,30,0.033333333,2000,1.66667E-05,60000,Census estimates; Tehsil area
Shahdadpur,1,Sindh,140000,40,0.025,3500,7.14286E-06,140000,Census estimates; Tehsil area
Sharaqpur,1,Punjab,40000,25,0.04,1600,0.000025,40000,Census estimates; Tehsil area
Tank-City,1,KPK,60000,1679,0.000595593,35.73555688,1.66667E-05,60000,Census estimates; District area
